,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
171,PointNet,ShapeNet,1,128,1,0.875,DCGAN,LSUN,1,32,1,1.329,45.333,19.86,9728
172,PointNet,ShapeNet,1,128,0,0.954,DCGAN,LSUN,1,64,0,1.049,84.233,38.433,13040
173,PointNet,ShapeNet,1,128,0,0.965,DCGAN,LSUN,1,64,1,1.105,53.951,23.344,12826
174,PointNet,ShapeNet,1,128,1,0.933,DCGAN,LSUN,1,64,0,1.079,83.557,35.918,9542
175,PointNet,ShapeNet,1,128,1,0.93,DCGAN,LSUN,1,64,1,1.17,54.15,23.95,9328
176,PointNet,ShapeNet,1,128,0,0.924,DCGAN,LSUN,1,128,0,0.886,89.018,40.526,15156
177,PointNet,ShapeNet,1,128,0,0.883,DCGAN,LSUN,1,128,1,0.994,64.966,32.069,13186
178,PointNet,ShapeNet,1,128,1,0.933,DCGAN,LSUN,1,128,0,0.915,85.361,35.213,10094
179,PointNet,ShapeNet,1,128,1,0.871,DCGAN,LSUN,1,128,1,1.049,62.194,31.097,9688
180,PPO,LunarLander,1,32,0,1.0,LSTM,Wikitext2,1,64,0,1.019,99.115,73.393,5932
181,PPO,LunarLander,1,32,0,1.0,LSTM,Wikitext2,1,64,1,0.978,65.662,48.544,5798
182,PPO,LunarLander,1,32,0,1.0,LSTM,Wikitext2,1,128,0,1.013,67.627,51.075,7664
183,PPO,LunarLander,1,32,0,1.0,LSTM,Wikitext2,1,128,1,1.002,67.836,54.818,7368
184,PPO,LunarLander,1,64,0,1.0,LSTM,Wikitext2,1,64,0,0.996,89.203,63.957,5932
185,PPO,LunarLander,1,64,0,1.0,LSTM,Wikitext2,1,64,1,0.977,74.322,56.814,5798
186,PPO,LunarLander,1,64,0,1.0,LSTM,Wikitext2,1,128,0,1.005,74.864,57.39,7664
187,PPO,LunarLander,1,64,0,1.0,LSTM,Wikitext2,1,128,1,0.952,65.255,51.491,7368
